name,prompt,seeds,guidance_scale
succulent,"a giant succulent in the desert in the sand, the sky is red with jupiter the planet, in the style of cubism",5842234013956479,7.5
reflected galaxy,underground lake with a galaxy reflected in the water,5883559517894420,7.5
red cave1,"descending deep into a cave, red lava on the walls, alice in wonderland movie animation",4866412378884770 4940561922459094,7.5
alien dunes,rolling dunes on an alien planet at night vivid colors cartoon evil red sinister,5453396741977211 6583682090290432 6482515549578068,7.5
cornu,"standing wave pattern, rainbow, wishing well",5842234013956479,7.5
alien mountain,"inspired by David A. Hardy, digital landscape art, as a tarot card, alien mountains, glowing green rocks, drawfolio, inspired by Władysław Czachórski, shooting star in background, flowing lines, inspired by Béla Iványi-Grünwald",4092123727786949 7285707432238947,7.5
overgrown fantasy,"a foggy view of a bridge in a fantasy overgrown world, anamorphic, official artwork, alien forest in background, with ethereal light, from a 2 0 1 9 sci fi 8 k movie, manicured garden of eden, by James C. Christensen, soft morning light. hyperrealism, award winning scifi art, nature futurism",5618257995059877 4638125635335835 8235966877828325,7.5
falling in cave,"descending deep into a cave, red lava on the walls, dark hole",5451964648290255,7.5
vine cave,"a foggy view in a fantasy overgrown vines world, jagged rocks and stone underground, anamorphic, alien vines in background, with ethereal light hyperrealism, sunlight beams through clouds, flying out of cave,spiral galaxy through an opening, planets galaxies in the distance",7078380737840840,7.5
fractal vines,"a view of galaxies through the trees and vines, fractal galaxies and stars, looking through trees and vines, realistic",2922127385296522 7102762937299441 2597635566234304 2443722957388803 8819628306543445 1778699665453921 2770623383884112,7.5
underground galaxy,"looking through a underground lake into the universe, a large spiral galaxy, a lake in a cave undeground, shimmering water surface, an underground tunnel with galaxies in the distance",911546531240752 5753804614795409 7818711710893562 2222668099220733,7.5
fractal galaxies,"bright fractal galaxies, epic motion through stars, above the surface of an alien planet, bright white and yellow stars",501321363070492 8544840542901462 5891113657437466,7.5
red cave2,"deep underground, descending into hell, red lava on the walls, dark black void tunnel, flames, dark colors, blackness",1488523408897636 6196330219215539,7.5
alien dunes2,"cartoons of rolling sand dunes at night, red vivid colors, stars and galaxies in a large open sky",3144550467650360 7034917753075580 7658447770572237 4921946709079490 4548547956872502,7.5
alien dunes3,"cartoons of rolling sand dunes at night, red vivid colors, stars and galaxies in a large open sky",3144550467650360 7034917753075580 7658447770572237 4921946709079490 4548547956872502,25
alien dunes4,"cartoons of rolling sand dunes at night, red vivid colors, stars and galaxies in a large open sky",3144550467650360 7034917753075580 7658447770572237 4921946709079490 4548547956872502,50
far away land5,"approaching a jungle in the distance, a dirt road with a succulent, a big city on a mountain, dark red moon over mountains, realistic fantasy animation, a city on a hill, tall turrets, like a tarot card",6815397410382260 7553228859504961,7.5
far away land8,"approaching a jungle in the distance, a dirt road with a succulent, a big city on a mountain, dark red moon over mountains, realistic fantasy animation, a city on a hill, cityscape, steam punk, tall turrets, like a tarot card",6098474812353869 2084259689832805 176246354385115,7.5
far away land11,"approaching a jungle in the distance, a dirt road with a succulent, a big red city on a mountain, red planetary rings over mountains, realistic fantasy animation, a city on a hill, cityscape, steam punk, tall turrets, sinister metropolis",4857627176932468 7534793135833247 4602827649242753 905488377057695 5383006964566936 6408941496116634 8002423765367876 5640233151898680 6801581842848785,7.5
rainbow spiral wave0,"fractal rainbow, standing waves, electron wave function, exciton, electron orbitals, d-orbital, p-orbital, in space, galactic background",1011141381797677 3247564695245070 8445559805720388 2990770769825474 3563212322445680 7452976095531866,7.5
rainbow spiral wave3,"fractal rainbow, standing waves, electron wave function, exciton, electron orbitals, d-orbital, p-orbital, in space, galactic background, black hole, fibonacci, geometric, geodesic",6565130727997329,7.5
rainbow spiral wave4,"fractal rainbow, standing waves, electron wave function, exciton, electron orbitals, d-orbital, p-orbital, in space, galactic background, black hole, geometric, smoke rings, mandelbrot",6606829181220414,7.5
rainbow spiral wave5,"electron wave function, exciton, electron orbitals, d-orbital, p-orbital, in space, galactic background, fractal rainbow, standing waves, geometric, smoke rings, mandelbrot",4476547043696287 1727166619442474 3116810869144921 1289113595635541 1419235876107802 6527887459499496,7.5
