name,prompt,seeds,guidance_scale
ridin,"looking out a train window, the view from a train, purple mountains",6761284367095726 1861418375515420 4680305993422717 7666293168780083 2490301079735460,7.5
ridin2,"whacky cartoon, looking out a train window, the view from a train, purple mountains",8340671983299755 7032125361335019 3345549566240578 4324346867890523 7911096012745684,7.5
ridin3,"whacky cartoon, looking out a train window, the view from a train, purple mountains, intricate swirl texture",4552753965976960 2803202987654952 6811229093945671 5393746301694518 7293376901601458,7.5
mushrooms,"realistic photograph, looking out a train window, the view from a train, sepia mountains, giant red mushrooms, texture of swirl",3834913117361767 2062954470407544 1052785392735197 7953817623919090 3374748532786983,7.5
flyin,"realistic photograph, looking out a plane window, the view from the sky, sepia mountains, giant red mushrooms, texture of swirl",4648676683937431 7951713725168500 4454963210252384 6258349210961891 5346246567496080,7.5
flyin2,"realistic photograph, looking out a plane window, the view from space, giant televisions on the ground, pink and orange clouds",5081854696452408 1686638313689273 476661067042480 1929968013232912 4650244579473872,7.5
flyin3,"like a comic book, looking out a plane window, the view from space, giant televisions on the ground, glowing stars",5352127865905933 7040952364013240 940603953589527 7951202685846176 5110683224173807,7.5
flyin4,"like a comic book, looking out a plane window, the view from space, giant televisions on the ground, glowing chemical drawings in the sky",7370857652691807 8764060436633536 7283650537276840 3380206156237196 8815293348214483,7.5
mushrooms2,"like a comic book, looking out a plane window, the view from space, giant mushrooms growing on earth",4422730982650 3655396130190020 3044765267993261 7411279655875320 802294525388504,7.5
elatrain,"like a comic book, a flying train in the sky, the view from space, giant mushrooms growing on earth, a flying train in the sky",4923374174604901 3267969134870328 6886869591746436 4366449583859614 3517507027281699,7.5
elatrain2,"like a comic book, a long, flying passenger train in the sky, flying in space by planets",5365090521719143 398076132540593 523983750806685 8068562921194571 8234233099568307,7.5
elatrain3,"realistic painting, a long, flying passenger train in the sky, flying in space by planets",7027161956163246 2319854107651805 7963604911315377 1266465939838138 7256609090781834,7.5
elatrain4,"a long, flying passenger train in the sky, flying in space by planets",339824713684565 2727040190071133 2311930376250701 3995782553854182 1441895442673048,7.5
landing,"intricate color drawing of a train driving through the desert, sunset colors, purple mountains, textured like paisley",3895184502914525 1841727297002575 6071125661423734 6074516885618472 4388689051338171,7.5
,,,
,,,
