name,prompt,seeds,guidance_scale
space1,"stained glass, a solar system, gas giant with planetary rings, other planets in background, fractal, in the style of art nouveau, focal point in upper right quadrant",3220128975656225 3118219364893292 1196633269823636 4940444011011764 5784381234674833,7.5
space2,"image of gaseous nebula in space, scientific, false color photograph taken through a telescope",3220128975656225 1939916141560356 4424932418078592 1165680494389804 3772133912128031,7.5
space3,"image of star, coronal ejections, fractal, scientific, false color photograph taken through a telescope",2427074341962587 7173787620200010 7539315067051747 6373194397316440 4987150508712081,7.5
space4,"pen drawing, solar system schematic, planets orbiting around a star, scientific drawing",521622045290246 7783495157775711 4379478694037652 6859472642203172 50873403839938,7.5
space5,"computer graphic, galaxy, highly detailed, image through a telescope",3559438121767914 3020892871177867 6952645408819460 3312101912064959 889077829428526,7.5
eelationplay,"ink woodcut picture, the letter E, upper case letter E, highly ornate font letter E, gothic text, many flowing vines and flowers on the letter E, black and white letter E ",3511744866986960 4859614627926247 1072000523629187 1358862416708459 2043652809119462,7.5
elation e,"elation station, written words on album cover",7650282711765502 8854725377517059 1135439542417285 2041873115570956 5675658284093214 616044422888471 4132394744111480 4173175273499401 3040127090627877 6702687608869328 4378467226628921 1702620949147077 2974961392214985 2842368435677711 1249380104968926 8979830170438183,7.5
elation e,"elation station, written words on album cover",7650282711765502 8854725377517059 1135439542417285 2041873115570956 5675658284093214 616044422888471 4132394744111480 4173175273499401 3040127090627877 6702687608869328 4378467226628921 1702620949147077 2974961392214985 2842368435677711 1249380104968926 8979830170438183,7.5
elation e,"elation station, written words on album cover",7650282711765502 8854725377517059 1135439542417285 2041873115570956 5675658284093214 616044422888471 4132394744111480 4173175273499401 3040127090627877 6702687608869328 4378467226628921 1702620949147077 2974961392214985 2842368435677711 1249380104968926 8979830170438183,7.5
elation l,"the letter E, black and white ink",306917024543788,7.5
